date,port,cargo_volume_mt,vessel_arrivals,congestion_score,import_volume,export_volume
2024-01-01,Mumbai,42500,38,5.2,24800,17700
2024-01-01,Chennai,31200,27,4.8,18400,12800
2024-01-01,JNPT,58700,52,7.1,33200,25500
2024-01-01,Kandla,38900,34,4.3,21600,17300
2024-01-01,Vizag,27400,24,3.9,15200,12200
2024-01-01,Kochi,19800,18,3.1,11400,8400
2024-01-08,Mumbai,44100,40,5.6,25600,18500
2024-01-08,Chennai,32800,29,5.1,19200,13600
2024-01-08,JNPT,61200,55,7.4,34800,26400
2024-01-08,Kandla,40200,36,4.7,22400,17800
2024-01-08,Vizag,28900,26,4.2,16100,12800
2024-01-08,Kochi,20600,19,3.4,11900,8700
2024-01-15,Mumbai,43700,39,5.4,25400,18300
2024-01-15,Chennai,33500,30,5.3,19600,13900
2024-01-15,JNPT,62800,57,7.8,35600,27200
2024-01-15,Kandla,41500,37,4.9,23100,18400
2024-01-15,Vizag,29600,26,4.4,16500,13100
2024-01-15,Kochi,21200,20,3.6,12200,9000
2024-01-22,Mumbai,46300,42,6.1,26900,19400
2024-01-22,Chennai,34100,31,5.5,20000,14100
2024-01-22,JNPT,64500,58,8.1,36700,27800
2024-01-22,Kandla,42800,38,5.2,23800,19000
2024-01-22,Vizag,30400,27,4.6,16900,13500
2024-01-22,Kochi,21900,20,3.8,12600,9300
2024-02-01,Mumbai,47800,43,6.3,27800,20000
2024-02-01,Chennai,35200,32,5.7,20600,14600
2024-02-01,JNPT,66100,60,8.3,37500,28600
2024-02-01,Kandla,43600,39,5.4,24300,19300
2024-02-01,Vizag,31100,28,4.8,17300,13800
2024-02-01,Kochi,22500,21,3.9,12900,9600
2024-02-08,Mumbai,48500,44,6.5,28200,20300
2024-02-08,Chennai,35900,32,5.8,21000,14900
2024-02-08,JNPT,67400,61,8.5,38200,29200
2024-02-08,Kandla,44200,40,5.6,24700,19500
2024-02-08,Vizag,31800,28,5.0,17700,14100
2024-02-08,Kochi,23100,21,4.1,13300,9800
2024-02-15,Mumbai,49200,45,6.7,28600,20600
2024-02-15,Chennai,36600,33,6.0,21400,15200
2024-02-15,JNPT,68900,62,8.7,39000,29900
2024-02-15,Kandla,45100,41,5.8,25100,20000
2024-02-15,Vizag,32500,29,5.1,18100,14400
2024-02-15,Kochi,23700,22,4.2,13600,10100
2024-03-01,Mumbai,51400,47,6.9,29900,21500
2024-03-01,Chennai,37800,34,6.2,22100,15700
2024-03-01,JNPT,71200,64,9.0,40400,30800
2024-03-01,Kandla,46800,42,6.0,26100,20700
2024-03-01,Vizag,33600,30,5.3,18700,14900
2024-03-01,Kochi,24500,23,4.4,14100,10400
2024-03-08,Mumbai,52900,48,7.1,30800,22100
2024-03-08,Chennai,38500,35,6.4,22500,16000
2024-03-08,JNPT,72800,66,9.2,41300,31500
2024-03-08,Kandla,47600,43,6.2,26500,21100
2024-03-08,Vizag,34300,31,5.5,19100,15200
2024-03-08,Kochi,25100,23,4.5,14400,10700
2024-03-15,Mumbai,54100,49,7.3,31500,22600
2024-03-15,Chennai,39200,35,6.5,22900,16300
2024-03-15,JNPT,74500,67,9.4,42200,32300
2024-03-15,Kandla,48400,44,6.3,26900,21500
2024-03-15,Vizag,35000,31,5.6,19500,15500
2024-03-15,Kochi,25700,24,4.7,14800,10900
